rank	lemma	PoS	freq	perMil	%caps	%allC	range	disp
2452	good	n	33457	33.69	0.04	0.00	18149	0.95
2453	jail	n	33453	33.69	0.08	0.01	17985	0.95
2454	rural	j	33383	33.62	0.08	0.00	15834	0.91
2455	match	n	33368	33.60	0.06	0.01	18219	0.97
2456	coach	v	33363	33.60	0.21	0.02	15407	0.89
2457	interpretation	n	33342	33.58	0.05	0.00	15947	0.88
2458	wage	n	33339	33.57	0.04	0.00	13478	0.94
2459	breakfast	n	33309	33.54	0.11	0.01	20288	0.96
2460	severe	j	33278	33.51	0.04	0.00	21872	0.95
2461	profile	n	33259	33.49	0.08	0.01	19538	0.96
2462	saving	n	33236	33.47	0.09	0.01	17192	0.94
2463	brief	j	33229	33.46	0.04	0.01	25346	0.96
2464	adjust	v	33205	33.44	0.05	0.00	23200	0.96
2465	reduction	n	33167	33.40	0.05	0.00	16443	0.91
2466	constantly	r	33167	33.40	0.02	0.00	25801	0.96
2467	assist	v	33161	33.39	0.03	0.00	21951	0.94
2468	bitch	n	33157	33.39	0.09	0.02	13542	0.88
2469	constant	j	33090	33.32	0.04	0.00	24368	0.96
2470	permit	v	33083	33.32	0.02	0.00	21220	0.94
2471	primarily	r	33079	33.31	0.02	0.00	24012	0.92
2472	entertainment	n	33057	33.29	0.20	0.01	21105	0.94
2473	shout	v	33053	33.29	0.05	0.02	19197	0.89
2474	academy	n	33028	33.26	0.77	0.01	17381	0.95
2475	teaspoon	n	33027	33.26	0.00	0.00	4479	0.75
2476	dream	v	33013	33.24	0.08	0.01	22538	0.97
2477	transfer	v	33009	33.24	0.13	0.00	21054	0.96
2478	usual	j	32997	33.23	0.02	0.00	25493	0.96
2479	ally	n	32994	33.23	0.14	0.01	18099	0.96
2480	clinical	j	32983	33.21	0.15	0.00	11963	0.86
2481	count	n	32971	33.20	0.13	0.01	19905	0.96
2482	swear	v	32971	33.20	0.04	0.01	22126	0.96
2483	avenue	n	32968	33.20	0.79	0.01	19657	0.94
2484	priest	n	32965	33.20	0.10	0.02	11084	0.96
2485	employment	n	32957	33.19	0.11	0.00	15605	0.92
2486	waste	v	32952	33.18	0.04	0.01	24299	0.98
2487	relax	v	32948	33.18	0.22	0.01	22696	0.96
2488	owe	v	32943	33.17	0.02	0.01	22010	0.98
2489	transform	v	32910	33.14	0.04	0.01	23688	0.95
2490	grass	n	32880	33.11	0.06	0.01	17158	0.92
2491	narrow	j	32874	33.10	0.02	0.00	23079	0.94
2492	ethnic	j	32857	33.09	0.06	0.00	12684	0.87
2493	scholar	n	32846	33.08	0.13	0.01	15458	0.90
2494	edition	n	32842	33.07	0.30	0.10	20107	0.93
2495	abandon	v	32838	33.07	0.03	0.00	24578	0.98
2496	practical	j	32834	33.06	0.05	0.00	22223	0.94
2497	infection	n	32785	33.02	0.03	0.00	10351	0.89
2498	musical	j	32775	33.01	0.07	0.01	14077	0.93
2499	suggestion	n	32775	33.01	0.04	0.00	23805	0.96
2500	resistance	n	32768	33.00	0.08	0.00	17128	0.93
2501	smoke	v	32716	32.95	0.07	0.01	17801	0.97
2502	prince	n	32712	32.94	0.69	0.02	12314	0.96
2503	illness	n	32704	32.93	0.03	0.00	16400	0.95
2504	embrace	v	32690	32.92	0.04	0.00	24526	0.97
2505	trade	v	32679	32.91	0.04	0.00	20772	0.96
2506	republic	n	32646	32.88	0.66	0.01	14710	0.91
2507	volunteer	n	32631	32.86	0.11	0.01	16802	0.95
2508	target	v	32627	32.86	0.05	0.01	21435	0.95
2509	general	r	32547	32.78	0.01	0.00	23794	0.94
2510	evaluation	n	32514	32.74	0.12	0.00	13124	0.84
2511	mine	n	32473	32.70	0.11	0.01	18408	0.98
2512	opposite	j	32431	32.66	0.10	0.03	24306	0.96
2513	awesome	j	32423	32.65	0.17	0.03	19303	0.93
2514	switch	v	32414	32.64	0.06	0.01	23049	0.97
2515	black	n	32406	32.63	0.22	0.02	13309	0.93
2516	iraqi	j	32364	32.59	1.00	0.01	7637	0.77
2517	iron	n	32359	32.59	0.28	0.02	16672	0.95
2518	perceive	v	32339	32.57	0.02	0.00	18221	0.89
2519	fundamental	j	32336	32.56	0.03	0.00	20323	0.93
2520	phrase	n	32319	32.55	0.01	0.00	20759	0.95
2521	assumption	n	32317	32.54	0.03	0.00	17801	0.92
2522	sand	n	32307	32.53	0.11	0.01	16075	0.95
2523	designer	n	32303	32.53	0.09	0.01	15554	0.93
2524	planning	n	32282	32.51	0.13	0.00	17760	0.92
2525	leading	j	32280	32.51	0.05	0.00	24536	0.95
2526	mode	n	32229	32.46	0.07	0.01	16035	0.92
2527	track	v	32224	32.45	0.04	0.01	23497	0.98
2528	respect	v	32224	32.45	0.02	0.00	22999	0.98
2529	widely	r	32221	32.45	0.01	0.00	25183	0.94
2530	occasion	n	32220	32.45	0.01	0.00	24090	0.97
2531	pose	v	32193	32.42	0.02	0.00	24279	0.96
2532	approximately	r	32193	32.42	0.10	0.00	20179	0.91
2533	retire	v	32169	32.40	0.03	0.01	21816	0.95
2534	elsewhere	r	32165	32.39	0.08	0.00	25210	0.96
2535	festival	n	32159	32.38	0.44	0.02	12924	0.92
2536	cap	n	32115	32.34	0.14	0.03	17960	0.96
2537	secure	v	32084	32.31	0.04	0.00	23007	0.97
2538	attach	v	32064	32.29	0.04	0.00	23258	0.97
2539	mechanism	n	32060	32.29	0.03	0.00	16150	0.90
2540	intention	n	32022	32.25	0.02	0.00	21694	0.96
2541	scenario	n	32007	32.23	0.04	0.01	18949	0.95
2542	yell	v	32005	32.23	0.05	0.03	19572	0.94
2543	incredible	j	31983	32.21	0.08	0.01	23727	0.96
2544	spanish	j	31958	32.18	0.99	0.01	14407	0.95
2545	strongly	r	31943	32.17	0.02	0.00	22758	0.94
2546	racial	j	31893	32.12	0.05	0.00	13133	0.93
2547	transportation	n	31888	32.11	0.27	0.01	16538	0.94
2548	pot	n	31864	32.09	0.05	0.01	16899	0.95
2549	boyfriend	n	31817	32.04	0.04	0.01	16423	0.97
2550	consideration	n	31756	31.98	0.04	0.00	21077	0.92
2551	prior	i	31754	31.98	0.19	0.00	21280	0.93
2552	retirement	n	31749	31.97	0.08	0.01	15004	0.94
2553	rarely	r	31748	31.97	0.04	0.00	25796	0.96
2554	joint	j	31738	31.96	0.25	0.01	18924	0.95
2555	doubt	v	31736	31.96	0.02	0.00	23578	0.97
2556	preserve	v	31701	31.92	0.05	0.00	21754	0.95
2557	enormous	j	31697	31.92	0.02	0.00	24147	0.96
2558	cigarette	n	31674	31.90	0.04	0.01	13860	0.92
2559	factory	n	31626	31.85	0.11	0.01	16484	0.96
2560	valuable	j	31626	31.85	0.03	0.00	23916	0.96
2561	clip	n	31612	31.83	0.52	0.50	12532	0.73
2562	electric	j	31583	31.80	0.19	0.01	17059	0.95
2563	giant	n	31557	31.78	0.50	0.01	16923	0.93
2564	slave	n	31539	31.76	0.07	0.01	11254	0.94
2565	submit	v	31515	31.74	0.07	0.00	20379	0.94
2566	effectively	r	31505	31.73	0.01	0.00	23199	0.94
2567	christian	n	31496	31.72	0.97	0.01	10691	0.93
2568	monitor	v	31483	31.70	0.04	0.01	21137	0.95
2569	wonder	n	31463	31.22	0.14	0.01	23238	0.97
2570	resolve	v	31452	31.67	0.02	0.00	21887	0.96
2571	remaining	j	31407	31.63	0.01	0.00	22282	0.95
2572	participation	n	31395	31.62	0.06	0.00	15191	0.85
2573	stream	n	31393	31.61	0.08	0.01	18530	0.95
2574	rid	v	31388	31.61	0.02	0.01	22569	0.98
2575	origin	n	31342	31.56	0.12	0.01	17782	0.92
2576	teen	n	31336	31.56	0.16	0.02	15657	0.95
2577	particular	r	31295	31.51	0.00	0.00	23554	0.94
2578	congressional	j	31271	31.49	0.38	0.01	17344	0.94
2579	bind	v	31267	31.49	0.04	0.01	21421	0.96
2580	coat	n	31266	31.49	0.05	0.01	17214	0.91
2581	tower	n	31252	31.47	0.30	0.02	14892	0.96
2582	license	n	31242	31.46	0.05	0.01	16103	0.96
2583	twitter	n	31238	31.46	0.91	0.00	16098	0.87
2584	impose	v	31201	31.42	0.01	0.00	19782	0.94
2585	innocent	j	31192	31.41	0.04	0.01	19328	0.98
2586	curriculum	n	31171	31.39	0.07	0.00	9444	0.81
2587	mail	n	31141	31.36	0.16	0.01	17788	0.96
2588	estimate	n	31122	31.34	0.07	0.00	15701	0.92
2589	insight	n	31094	31.31	0.07	0.01	21323	0.94
2590	investigator	n	31082	31.30	0.13	0.00	15464	0.93
2591	virus	n	31075	31.29	0.04	0.00	8250	0.91
2592	hurricane	n	31072	31.29	0.49	0.01	11803	0.90
2593	accurate	j	31068	31.29	0.02	0.00	21721	0.95
2594	provision	n	31059	31.28	0.03	0.00	13370	0.91
2595	strike	n	31051	31.27	0.07	0.01	15548	0.96
2596	communicate	v	31040	31.26	0.02	0.00	20754	0.96
2597	cross	n	31025	31.24	0.38	0.01	17487	0.97
2598	vary	v	31000	31.22	0.01	0.00	21174	0.91
2599	jacket	n	30995	31.21	0.08	0.01	16664	0.92
2600	increasing	j	30970	31.19	0.04	0.00	21974	0.92
2601	green	n	30968	31.19	0.17	0.02	17262	0.93
2602	equally	r	30968	31.19	0.06	0.00	23914	0.95
2603	pay	n	30935	31.15	0.06	0.01	18638	0.96
2604	in	c	30931	31.15	0.14	0.01	25029	0.98
2605	light	v	30928	31.15	0.05	0.01	21530	0.93
2606	implication	n	30921	31.14	0.11	0.02	19703	0.89
2607	fiction	n	30883	31.10	0.14	0.02	14382	0.95
2608	protest	n	30878	31.09	0.03	0.00	16587	0.95
2609	mama	n	30857	31.07	0.67	0.01	9545	0.90
2610	imply	v	30829	31.05	0.01	0.00	19505	0.93
2611	twin	n	30810	30.56	0.27	0.01	15046	0.95
2612	pant	n	30810	31.03	0.06	0.02	18609	0.95
2613	another	p	30791	31.01	0.00	0.00	21235	0.97
2614	ahead	i	30782	31.00	0.03	0.00	24957	0.97
2615	bend	v	30768	30.98	0.07	0.00	20165	0.92
2616	shock	n	30746	30.96	0.06	0.01	21193	0.97
2617	exercise	v	30730	30.95	0.06	0.01	18565	0.95
2618	criteria	n	30727	30.94	0.06	0.00	13668	0.85
2619	arab	j	30709	30.92	1.00	0.01	8119	0.89
2620	dirty	j	30707	30.22	0.12	0.01	20767	0.97
2621	ring	v	30684	30.90	0.08	0.02	21472	0.94
2622	toy	n	30678	30.89	0.14	0.01	15545	0.97
2623	potentially	r	30671	30.89	0.02	0.00	23509	0.94
2624	assault	n	30609	30.82	0.04	0.00	17223	0.94
2625	peak	n	30595	30.81	0.18	0.01	16606	0.94
2626	anger	n	30587	30.80	0.04	0.00	19243	0.97
2627	boot	n	30566	30.78	0.04	0.01	16110	0.92
2628	dramatic	j	30558	30.77	0.03	0.01	23842	0.96
2629	peer	n	30537	30.75	0.04	0.00	14553	0.88
2630	enhance	v	30470	30.68	0.03	0.00	20135	0.90
2631	math	n	30465	30.68	0.11	0.01	14072	0.95
2632	slide	v	30451	30.66	0.05	0.01	19048	0.89
2633	favor	n	30405	30.62	0.00	0.00	22486	0.98
2634	pink	j	30396	30.61	0.16	0.02	17134	0.90
2635	dust	n	30376	30.59	0.10	0.01	16538	0.94
2636	aunt	n	30364	30.58	0.50	0.01	11134	0.90
2637	lost	j	30362	30.58	0.17	0.02	22361	0.98
2638	prospect	n	30358	30.57	0.06	0.01	21714	0.95
2639	mood	n	30344	30.56	0.04	0.01	20918	0.98
2640	mm-hmm	u	30339	30.55	0.98	0.00	11059	0.78
2641	settlement	n	30250	30.46	0.06	0.00	12867	0.93
2642	rather	c	30233	30.45	0.14	0.00	24544	0.95
2643	justify	v	30199	30.41	0.01	0.00	19626	0.94
2644	depth	n	30176	30.39	0.02	0.00	20243	0.96
2645	juice	n	30156	30.37	0.07	0.01	14048	0.91
2646	formal	j	30129	30.34	0.03	0.00	19087	0.92
2647	virtually	r	30114	30.33	0.08	0.00	24119	0.94
2648	gallery	n	30109	30.32	0.43	0.03	12331	0.92
2649	tension	n	30082	30.29	0.05	0.00	19921	0.96
2650	throat	n	30071	30.28	0.03	0.01	18185	0.89
2651	draft	n	30062	30.27	0.06	0.01	14878	0.93
2652	reputation	n	29988	30.20	0.02	0.00	21991	0.97
2653	index	n	29987	30.20	0.22	0.01	12701	0.91
2654	normally	r	29963	30.17	0.17	0.00	24001	0.98
2655	mess	n	29961	30.17	0.03	0.01	21571	0.97
2656	joy	n	29949	30.16	0.03	0.01	20906	0.97
2657	steel	n	29886	30.10	0.07	0.01	15731	0.94
2658	motor	n	29863	30.07	0.35	0.01	14629	0.95
2659	enterprise	n	29857	30.07	0.30	0.01	15946	0.95
2660	salary	n	29856	30.07	0.04	0.01	15797	0.94
2661	moreover	r	29856	30.07	0.88	0.00	17388	0.88
2662	giant	j	29852	30.06	0.09	0.01	21000	0.97
2663	cousin	n	29840	30.05	0.07	0.01	16045	0.96
2664	ordinary	j	29816	30.03	0.05	0.00	20544	0.97
2665	graduate	v	29793	30.00	0.04	0.00	20218	0.97
2666	dozen	n	29771	29.98	0.05	0.01	22256	0.90
2667	evolution	n	29760	29.97	0.13	0.01	13044	0.93
2668	so-called	j	29757	29.97	0.02	0.00	23178	0.96
2669	helpful	j	29707	29.92	0.02	0.00	21543	0.95
2670	competitive	j	29700	29.91	0.03	0.00	18873	0.94
2671	lovely	j	29696	29.90	0.10	0.01	19868	0.97
2672	fishing	n	29682	29.89	0.09	0.01	12379	0.93
2673	anxiety	n	29659	29.87	0.06	0.00	14932	0.92
2674	professional	n	29639	29.85	0.05	0.00	17657	0.92
2675	carbon	n	29639	29.85	0.09	0.01	9219	0.93
2676	essay	n	29637	29.85	0.10	0.01	13088	0.91
2677	islamic	j	29622	29.83	0.99	0.00	9150	0.92
2678	honor	v	29595	29.80	0.06	0.01	21316	0.97
2679	drama	n	29588	29.80	0.08	0.01	18203	0.96
2680	odd	j	29585	29.79	0.08	0.01	21618	0.96
2681	evil	j	29573	29.78	0.10	0.02	16400	0.96
2682	stranger	n	29572	29.78	0.08	0.01	19122	0.96
2683	belt	n	29548	29.76	0.14	0.01	16798	0.96
2684	urge	v	29531	29.74	0.01	0.00	22964	0.96
2685	toss	v	29527	29.73	0.09	0.01	20138	0.93
2686	fifth	m	29510	29.72	0.20	0.01	21605	0.96
2687	formula	n	29504	29.71	0.34	0.00	12417	0.60
2688	potato	n	29496	29.70	0.09	0.02	12739	0.93
2689	monster	n	29491	29.70	0.20	0.03	15205	0.97
2690	smoke	n	29483	29.69	0.06	0.01	16431	0.94
2691	telephone	n	29482	29.69	0.04	0.01	17922	0.94
2692	rape	n	29477	29.68	0.07	0.01	9363	0.92
2693	palm	n	29472	29.68	0.33	0.01	16437	0.92
2694	jet	n	29468	29.68	0.36	0.04	14645	0.95
2695	navy	n	29450	29.66	0.79	0.01	13122	0.96
2696	excited	j	29450	29.66	0.03	0.01	21891	0.97
2697	plot	n	29444	29.65	0.03	0.01	15457	0.95
2698	angle	n	29422	29.63	0.20	0.15	16431	0.93
2699	criticize	v	29408	29.61	0.01	0.00	21042	0.95
2700	prisoner	n	29394	29.60	0.07	0.01	12999	0.96
2701	discipline	n	29386	29.59	0.05	0.00	16268	0.92
2702	negotiation	n	29385	29.59	0.04	0.00	15313	0.93
2703	damn	j	29373	29.58	0.08	0.02	17464	0.94
2704	butter	n	29372	29.58	0.09	0.01	11511	0.90
2705	desert	n	29353	29.56	0.21	0.01	14478	0.95
2706	complicated	j	29335	29.54	0.02	0.00	23143	0.98
2707	prize	n	29331	29.54	0.35	0.01	17870	0.97
2708	blind	j	29326	29.53	0.10	0.01	17138	0.97
2709	assign	v	29315	29.52	0.03	0.00	19143	0.94
2710	bullet	n	29277	29.48	0.09	0.02	15907	0.98
2711	awareness	n	29265	29.47	0.08	0.00	17091	0.91
2712	sequence	n	29257	29.46	0.04	0.01	11850	0.91
2713	illustrate	v	29234	29.44	0.10	0.01	19002	0.91
2714	drop	n	29201	29.41	0.05	0.01	20585	0.97
2715	pack	n	29197	29.40	0.10	0.01	16894	0.94
2716	provider	n	29196	29.40	0.03	0.00	12654	0.92
2717	fucking	r	29176	29.38	0.12	0.03	7218	0.82
2718	minor	j	29172	29.38	0.07	0.00	21257	0.97
2719	activist	n	29161	29.37	0.05	0.01	16507	0.94
2720	poem	n	29138	29.34	0.06	0.00	8726	0.92
2721	vacation	n	29123	29.33	0.05	0.01	18759	0.98
2722	weigh	v	29121	29.33	0.04	0.00	22430	0.97
2723	gang	n	29116	29.32	0.15	0.04	13016	0.96
2724	privacy	n	29115	29.32	0.15	0.01	14524	0.93
2725	clock	n	29112	29.32	0.06	0.01	17434	0.97
2726	arrange	v	29108	29.31	0.07	0.00	21700	0.96
2727	penalty	n	29096	29.30	0.04	0.01	14102	0.94
2728	stomach	n	29089	29.29	0.02	0.01	18673	0.93
2729	concert	n	29086	29.29	0.10	0.02	14328	0.95
2730	originally	r	29084	29.29	0.17	0.00	23123	0.96
2731	statistics	n	29070	29.27	0.24	0.01	17267	0.92
2732	electronic	j	29064	29.27	0.14	0.01	15520	0.95
2733	properly	r	29063	29.27	0.02	0.00	22225	0.96
2734	bureau	n	29044	29.25	0.65	0.01	15947	0.95
2735	wolf	n	29042	29.25	0.43	0.04	9403	0.94
2736	and/or	c	29029	29.23	0.00	0.00	18103	0.90
2737	classic	j	29028	29.23	0.12	0.01	22247	0.95
2738	recommendation	n	28998	29.20	0.09	0.01	16701	0.93
2739	exciting	j	28990	29.19	0.02	0.01	23026	0.98
2740	maker	n	28989	29.19	0.09	0.01	17828	0.95
2741	dear	j	28984	28.88	0.47	0.01	17477	0.96
2742	impression	n	28975	29.18	0.02	0.01	21176	0.98
2743	broken	j	28965	29.17	0.09	0.01	20968	0.96
2744	battery	n	28962	29.17	0.08	0.01	12323	0.94
2745	narrative	n	28928	29.13	0.04	0.00	12168	0.89
2746	process	v	28916	29.12	0.06	0.01	19034	0.95
2747	arise	v	28915	29.12	0.02	0.00	19337	0.92
2748	kid	v	28911	29.11	0.05	0.02	18728	0.93
2749	sake	n	28905	29.11	0.01	0.01	20368	0.97
2750	delivery	n	28903	29.11	0.06	0.01	16750	0.96
2751	forgive	v	28897	29.10	0.16	0.01	17243	0.97
2752	visible	j	28886	29.09	0.02	0.00	20033	0.95
2753	heavily	r	28880	29.08	0.01	0.00	23569	0.97
2754	junior	j	28869	29.07	0.34	0.01	16655	0.95
2755	rep	n	28848	29.05	0.72	0.09	14062	0.92
2756	diversity	n	28848	29.05	0.08	0.00	13447	0.90
2757	string	n	28844	29.05	0.07	0.01	17827	0.96
2758	lawsuit	n	28834	29.04	0.02	0.00	14298	0.91
2759	latter	d	28825	29.03	0.01	0.00	20229	0.92
2760	cute	j	28813	29.02	0.09	0.02	17494	0.96
2761	deputy	n	28806	29.01	0.32	0.03	16003	0.94
2762	restore	v	28777	28.98	0.05	0.01	19870	0.97
2763	buddy	n	28763	28.97	0.03	0.01	17650	0.94
2764	psychological	j	28740	28.94	0.12	0.00	14475	0.89
2765	besides	r	28711	28.91	0.75	0.01	21876	0.96
2766	intense	j	28703	28.90	0.03	0.00	22770	0.97
2767	friendly	j	28697	27.28	0.06	0.01	20590	0.98
2768	evil	n	28696	28.90	0.12	0.02	14861	0.96
2769	lane	n	28689	28.89	0.43	0.03	13887	0.95
2770	hungry	j	28647	28.85	0.07	0.01	19610	0.97
2771	bean	n	28639	28.84	0.20	0.04	12006	0.92
2772	sauce	n	28639	28.84	0.10	0.02	9864	0.88
2773	print	v	28636	28.84	0.19	0.01	15946	0.90
2774	dominate	v	28636	28.84	0.01	0.00	21680	0.95
2775	testing	n	28626	28.83	0.06	0.01	14142	0.93
2776	trick	n	28621	28.82	0.05	0.01	20672	0.98
2777	fantasy	n	28620	28.82	0.11	0.01	15957	0.97
2778	absence	n	28618	28.82	0.02	0.00	19636	0.93
2779	offensive	j	28611	28.81	0.05	0.00	16804	0.92
2780	symbol	n	28609	28.81	0.04	0.00	16113	0.95
2781	recognition	n	28585	28.79	0.05	0.00	18103	0.92
2782	detect	v	28574	28.77	0.02	0.00	15751	0.93
2783	tablespoon	n	28554	28.75	0.18	0.01	4163	0.77
2784	construct	v	28515	28.72	0.03	0.00	18060	0.91
2785	hmm	u	28510	28.71	0.88	0.03	13522	0.87
2786	arrest	n	28504	28.70	0.02	0.01	15994	0.95
2787	approval	n	28499	28.70	0.03	0.00	19311	0.96
2788	aids	n	28489	28.69	0.85	0.83	9471	0.89
2789	whereas	c	28472	28.67	0.23	0.01	18029	0.90
2790	defensive	j	28464	28.66	0.06	0.00	15430	0.92
2791	independence	n	28463	28.66	0.23	0.00	15747	0.93
2792	apologize	v	28462	28.66	0.03	0.01	18863	0.97
2793	top	i	28439	28.64	0.02	0.01	22367	0.97
2794	asian	j	28419	28.62	0.99	0.01	12923	0.93
2795	rose	n	28398	28.60	0.39	0.04	15058	0.95
2796	ghost	n	28365	28.56	0.26	0.02	13037	0.95
2797	involvement	n	28357	28.56	0.03	0.00	16843	0.90
2798	permanent	j	28345	28.54	0.05	0.00	19930	0.96
2799	wire	n	28337	28.54	0.09	0.01	16038	0.96
2800	whisper	v	28334	28.53	0.07	0.03	15363	0.84
2801	mouse	n	28329	28.53	0.14	0.01	9772	0.90
2802	airline	n	28327	28.53	0.28	0.01	9404	0.90
2803	founder	n	28315	28.51	0.15	0.01	19670	0.94
2804	objective	n	28315	28.51	0.06	0.01	15515	0.89
2805	nowhere	r	28292	28.49	0.13	0.01	22709	0.98
2806	alternative	j	28282	28.48	0.08	0.01	16912	0.92
2807	phenomenon	n	28258	28.46	0.02	0.00	17579	0.93
2808	evolve	v	28257	28.46	0.02	0.00	19122	0.95
2809	not	c	28251	28.45	0.00	0.00	20373	0.94
2810	exact	j	28250	28.45	0.03	0.01	22308	0.97
2811	silver	n	28244	28.44	0.03	0.01	16591	0.94
2812	cent	n	28231	28.43	0.03	0.00	13861	0.95
2813	universal	j	28224	28.42	0.24	0.01	16105	0.94
2814	teenager	n	28219	28.42	0.05	0.01	18527	0.96
2815	crucial	j	28219	28.42	0.01	0.00	21838	0.94
2816	viewer	n	28181	28.38	0.05	0.00	14889	0.95
2817	schedule	v	28174	28.37	0.03	0.00	22600	0.95
2818	ridiculous	j	28150	28.35	0.04	0.01	20430	0.97
2819	chocolate	n	28147	28.34	0.14	0.01	12908	0.95
2820	sensitive	j	28109	28.31	0.03	0.00	20812	0.97
2821	bottom	j	28102	28.30	0.17	0.03	20870	0.96
2822	grandmother	n	28091	28.29	0.09	0.01	13938	0.94
2823	missile	n	28086	28.28	0.06	0.01	9321	0.91
2824	roughly	r	28083	28.28	0.07	0.00	21758	0.95
2825	constitutional	j	28065	28.26	0.16	0.01	11549	0.92
2826	adventure	n	28045	28.24	0.20	0.01	17602	0.97
2827	genetic	j	28027	28.22	0.08	0.00	10054	0.93
2828	advance	v	28014	28.21	0.05	0.00	20296	0.96
2829	related	j	28013	28.21	0.23	0.01	20791	0.91
2830	swing	v	27981	28.18	0.06	0.01	17918	0.92
2831	ultimate	j	27973	28.17	0.10	0.01	21053	0.96
2832	manufacturer	n	27966	28.16	0.08	0.01	14933	0.92
2833	unknown	j	27955	28.15	0.08	0.01	20557	0.97
2834	wipe	v	27952	28.15	0.05	0.01	19702	0.93
2835	crop	n	27946	28.14	0.04	0.01	11784	0.93
2836	survival	n	27914	28.11	0.09	0.01	16775	0.95
2837	line	v	27910	28.11	0.05	0.01	22540	0.96
2838	dimension	n	27889	28.08	0.06	0.01	13692	0.89
2839	resist	v	27867	28.06	0.03	0.00	21128	0.97
2840	request	v	27861	28.06	0.05	0.00	19495	0.97
2841	roll	n	27831	28.03	0.10	0.02	18125	0.97
2842	shape	v	27828	28.02	0.03	0.00	20503	0.95
2843	darkness	n	27827	28.02	0.10	0.01	15354	0.90
2844	guarantee	v	27824	28.02	0.02	0.00	21669	0.97
2845	historic	j	27799	27.99	0.15	0.01	17979	0.94
2846	educator	n	27782	27.98	0.11	0.00	9905	0.80
2847	rough	j	27778	27.97	0.05	0.01	21482	0.98
2848	personnel	n	27773	27.97	0.05	0.01	16314	0.94
2849	race	v	27773	27.97	0.11	0.02	16576	0.95
2850	confront	v	27771	27.97	0.04	0.00	20988	0.96
2851	terrorist	n	27765	27.96	0.05	0.01	11926	0.92
2852	royal	j	27749	27.94	0.54	0.01	13292	0.96
2853	elite	n	27712	27.91	0.10	0.01	14505	0.93
2854	occupy	v	27708	27.90	0.16	0.00	18751	0.96
2855	emphasis	n	27699	27.89	0.03	0.00	18306	0.90
2856	wet	j	27690	27.88	0.06	0.01	17722	0.93
2857	destruction	n	27666	27.86	0.04	0.01	17308	0.95
2858	raw	j	27663	27.86	0.11	0.03	17436	0.96
2859	inner	j	27642	27.84	0.07	0.01	18161	0.96
2860	proceed	v	27636	27.83	0.05	0.00	20027	0.97
2861	violate	v	27630	27.82	0.01	0.00	17809	0.96
2862	chart	n	27628	27.82	0.13	0.04	15575	0.95
2863	pace	n	27613	27.81	0.08	0.01	20472	0.96
2864	finance	n	27594	27.79	0.21	0.01	16662	0.95
2865	champion	n	27593	27.79	0.18	0.01	15916	0.93
2866	snap	v	27586	27.78	0.08	0.03	19078	0.92
2867	suspect	n	27585	27.78	0.04	0.00	13987	0.94
2868	advise	v	27580	27.77	0.02	0.00	21392	0.97
2869	initially	r	27566	27.76	0.16	0.00	22215	0.95
2870	advanced	j	27563	27.76	0.19	0.01	17862	0.95
2871	unlikely	j	27546	27.74	0.02	0.00	22124	0.96
2872	barrier	n	27530	27.72	0.06	0.00	15796	0.93
2873	advocate	n	27479	27.67	0.10	0.00	18629	0.94
2874	label	n	27479	27.67	0.04	0.01	15287	0.96
2875	access	v	27476	27.67	0.10	0.00	15283	0.88
2876	horrible	j	27456	27.65	0.05	0.01	19505	0.97
2877	burden	n	27443	27.64	0.04	0.01	18063	0.96
2878	violation	n	27435	27.63	0.02	0.00	15352	0.95
2879	unlike	i	27434	27.63	0.44	0.00	23407	0.97
2880	idiot	n	27432	27.62	0.09	0.02	15876	0.94
2881	lifetime	n	27432	27.62	0.07	0.01	20474	0.98
2882	working	j	27367	27.56	0.09	0.00	18610	0.96
2883	fund	v	27347	27.54	0.02	0.00	18588	0.95
2884	ongoing	j	27334	27.53	0.04	0.00	20712	0.94
2885	react	v	27322	27.51	0.02	0.00	20442	0.97
2886	routine	n	27266	27.46	0.03	0.01	19237	0.97
2887	presentation	n	27265	27.46	0.04	0.00	16222	0.93
2888	supply	v	27255	27.45	0.03	0.00	19788	0.96
2889	gear	n	27243	27.43	0.10	0.03	16331	0.94
2890	photograph	v	27239	27.43	0.63	0.02	13729	0.72
2891	mexican	j	27233	27.42	1.00	0.01	10691	0.94
2892	stadium	n	27233	27.42	0.47	0.01	11760	0.87
2893	translate	v	27231	27.42	0.07	0.00	19517	0.96
2894	mortgage	n	27227	27.42	0.10	0.01	9572	0.91
2895	sheriff	n	27193	27.38	0.51	0.03	8949	0.93
2896	clinic	n	27190	27.38	0.19	0.01	12498	0.96
2897	spin	v	27184	27.38	0.06	0.01	18343	0.94
2898	coalition	n	27166	27.36	0.27	0.01	13657	0.92
2899	naturally	r	27157	27.35	0.18	0.00	21160	0.96
2900	hopefully	r	27150	27.34	0.36	0.00	21266	0.94
2901	mix	n	27117	27.31	0.06	0.01	20421	0.95
2902	menu	n	27113	27.30	0.07	0.01	13769	0.94
2903	smooth	j	27095	27.29	0.06	0.01	19021	0.93
2904	advertising	n	27069	27.26	0.09	0.01	14112	0.94
2905	interpret	v	27068	27.26	0.02	0.00	17106	0.91
2906	plant	v	27047	27.24	0.07	0.01	16509	0.95
2907	dismiss	v	27026	27.22	0.03	0.00	19919	0.97
2908	muslim	n	26994	27.18	0.91	0.00	7709	0.92
